Tipo de Tecnologia,Frequência
Realidade Virtual,6
Realidade Aumentada,6
"IoT, Realidade Aumentada, IA",6
"Realidade Aumentada, Internet das Coisas (IoT), Inteligência Artificial (IA)",5
IoT,4
Internet das Coisas (IoT),3
"Realidade Aumentada, Realidade Virtual, Internet das Coisas (IoT), Inteligência Artificial (IA)",2
"Realidade Virtual, Realidade Aumentada",2
BIM,2
Não há uma tecnologia principal identificada no título do artigo fornecido.,1
Web-Based Platform,1
"Computação em nuvem, IoT, Sensores, Big Data.",1
"Metaverso, Realidade Virtual, Realidade Aumentada, Inteligência Artificial.",1
"Visão Computacional, Machine Learning, Processamento de Linguagem Natural.",1
"Web of Science, Scopus, Fourth Industrial Revolution",1
"Web 1.0, Web 4.0, IoT, Realidade Aumentada, IA",1
"Mobile Applications, IoT, Artificial Intelligence",1
"Computação em nuvem, digitalização, processamento de imagem.",1
Banco de dados geoespaciais.,1
Inteligência Artificial (IA),1
"Digitalização, Realidade Virtual, Aplicativos móveis, Geolocalização.",1
"Blockchain, IoT",1
"Digital Twins, IoT, Artificial Intelligence, Augmented Reality, 3D Scanning, Building Information Modeling (BIM)",1
Smart Tourism Conceptual Model,1
NFTs,1
"Crowdsourcing, Inteligência Artificial, Colaboração Online, Visualização de Dados.",1
"Digital Twins, Realidade Aumentada, Internet das Coisas (IoT), Inteligência Artificial (IA)",1
"BIM, Realidade Virtual",1
"Linked Data, Smart Objects, Gamification",1
"BIM, Digital Twin",1
"Mineração de dados digitais, Tecnologia de fusão de informações.",1
"Modelos semânticos, Serviços, Conservação, Restauração, Patrimônio Cultural.",1
Sensoriamento de temperatura e umidade sem bateria.,1
"Sensores, Redes de Sensores sem Fio, Análise de Dados, Machine Learning, Inteligência Artificial.",1
Conservação e restauração de monumentos históricos.,1
"Digital Twin, Realidade Virtual, Inteligência Artificial, Processamento de Áudio.",1
Web-GIS,1
"Inteligência Artificial, Realidade Aumentada, Internet das Coisas (IoT)",1
"Mapeamento digital, Tecnologias de imagem 3D.",1
"HBIM, Realidade Aumentada, Realidade Virtual",1
"Telepresença, MQTT Protocol",1
"IA, Processamento de Linguagem Natural, Reconhecimento de Voz, Realidade Aumentada",1
"Reconstrução 3D, Visualização móvel, Gêmeos digitais.",1
"Geo-Dashboard Development, Tecnologias de Geolocalização, Big Data, Análise de Dados, Visualização de Dados.",1
"Realidade Aumentada, Realidade Mista, Semântica, Interação Humano-Computador.",1
"Realidade Aumentada, Tecnologia da Informação, Tecnologia Móvel.",1
"Tecnologias principais: IoT, Realidade Aumentada, IA.",1
"Realidade Virtual, Internet, Plataformas de Videoconferência.",1
"Realidade Aumentada, Mobile",1
"Realidade Aumentada, Plataforma de Gerenciamento.",1
"BIM, Realidade Aumentada, Modelagem 3D",1
"Inteligência Artificial, Internet das Coisas (IoT)",1
"Realidade Aumentada, Plataforma Mojangki.id.",1
"IoT, Energias Renováveis, Sistemas de Gestão de Energia, Smart Grids, BIM (Building Information Modeling)",1
"Realidade Aumentada, IoT",1
"Inteligência Artificial, Acessibilidade, Design centrado no ser humano.",1
"IoT, Realidade Aumentada, IA, Smart Cities, Big Data, Machine Learning.",1
"Visualização de dados, Tecnologia de Exibição, Arte Digital",1
Wi-Fi Probes,1
Big Data,1
"BIM, Digital Twins, IA",1
"Digitalização, Sustentabilidade, Turismo, Análise Bibliométrica.",1
"Turismo rural, Desenvolvimento de cidades características, Influência em áreas rurais.",1
"Gestão de instalações, Tecnologia da informação, Sistemas de informação, Tecnologia de sensoriamento remoto.",1
"IA, Realidade Aumentada, Big Data, Machine Learning, Geolocalização.",1
Genetic Algorithms-Based Method,1
"Realidade Virtual, Modelagem de Informação da Construção (BIM), Turismo Virtual interativo.",1
"Realidade Aumentada, Geolocalização, Aplicativos móveis, Sistemas de Informação Geográfica (SIG)",1
ICT (Tecnologia da Informação e Comunicação),1
"IoT, Realidade Aumentada",1
"6G, IoT, Digital Twins",1
"Inteligência Artificial, Realidade Aumentada, Aplicativos móveis.",1
"Digitização, Inteligência Artificial, Big Data, Realidade Virtual, Internet das Coisas (IoT)",1
"Computação de dados, Inteligência Artificial, Processamento de Imagem, Visão Computacional.",1
"Inteligência Artificial, Internet das Coisas (IoT), Realidade Aumentada, Big Data, Machine Learning.",1
Recuperação de Informações sobre Patrimônio Cultural.,1
"Digitalização, Realidade Aumentada, Inteligência Artificial, Machine Learning, Blockchain.",1
"Realidade Virtual, Interação Natural",1
"Sensores, Ontologia, Patrimônio Cultural.",1
"IoT, Realidade Aumentada, IA, Big Data, Machine Learning.",1
Blockchain,1
"Realidade Aumentada, Realidade Mista",1
"Digital Twin, IoT, Realidade Aumentada, IA",1
"IoT, Gerenciamento de Informações de Imagem.",1
HBIM (Heritage Building Information Modeling),1
"Socio-Technical System Framework, Smart Heritage, Historical and Cultural Villages.",1
"Open-Access Data, Smart Heritage",1
"Realidade Aumentada, Modelagem 3D, Sistemas de Informação Geográfica (GIS)",1
"Inteligência Artificial, Internet das Coisas (IoT), Realidade Aumentada, Sistemas de Informação Geográfica (GIS)",1
"Smart Heritage, Local Government, Interdisciplinary Relationships",1
"Realidade Aumentada, Aplicativos móveis, Tecnologia de localização, Banco de dados, Geolocalização.",1
HBIM (Heritage Building Information Modelling),1
"Building Information Model (BIM), Digital Twin",1
"Realidade Virtual, Robótica, Redes Sociais.",1
"Realidade Aumentada, Modelagem 3D, Digital Twin",1
"Realidade Virtual, Realidade Aumentada, Modelagem 3D, Digitalização 3D, Visualização 3D.",1
"Modelagem 3D, Realidade Aumentada",1
"Intelligent User Interfaces, IA, Realidade Aumentada",1
"Realidade Aumentada, Web-based",1
"Realidade Aumentada, Sistema Interativo Digital, Tecnologia de Realidade Virtual",1
"Realidade Aumentada, Gamificação, Aplicativos baseados em localização.",1
"Modelagem 3D, Realidade Virtual",1
"Graph Neural Network, Realidade Virtual",1
"Realidade Aumentada, Modelagem 3D, Visualização de Dados.",1
"Realidade Aumentada, Tecnologia Digital.",1
"Realidade Virtual, Turismo Cultural, UTAUT2.",1
"Realidade Aumentada, Design de Interfaces, Museus Online, Experiência do Usuário.",1
"Realidade Aumentada, Arquitetura Islâmica, Egito.",1
"Digitalização, Realidade Virtual, Realidade Aumentada, Inteligência Artificial",1
"Processamento de nuvem de pontos 3D, Modelagem inteligente, Conservação de patrimônio cultural.",1
"Big Data, Data Lake, Cultural Heritage Domain, Multi-Faceted Analytics",1
IA,1
"Análise Modal Empírica, Transmissão Digital, Patrimônio Cultural Intangível.",1
"Realidade Virtual, Inteligência Artificial",1
"Banco de dados, Tecnologia da Informação, Arqueologia Digital.",1
Internet of Things (IoT),1
"Microservices Architecture, Deep-Learning",1
"Realidade Virtual, Realidade Aumentada, Inteligência Artificial, Tecnologia de Imersão.",1
"Internet das Coisas (IoT), Design de Interação.",1
"Processamento de imagem, Inteligência Artificial",1
"Visão Computacional, Processamento de Linguagem Natural, Realidade Aumentada.",1
"Plataforma digital, Realidade Aumentada, Interoperabilidade.",1
"Inteligência Artificial, Internet das Coisas",1
"Blockchain, Internet of Things",1
"IoT, Ontologia, Semântica, Interoperabilidade.",1
"Realidade Aumentada, Realidade Virtual, Aplicativos móveis, Sistemas de informação, Interfaces interativas.",1
"Blockchain, Cultural Heritage Preservation",1
"Spatial Information Technology, Internet of Things",1
"IA, Metaverse",1
"CiteSpace, VOSviewer, Bibliometrix",1
Gamificação,1
Algoritmo de Agrupamento Hierárquico.,1
"Internet das Coisas (IoT), Representação Semântica.",1
"Realidade Aumentada, Realidade Virtual, Digitalização 3D, Machine Learning, Visão Computacional, Internet das Coisas (IoT), Sistemas de Informação Geográfica (GIS), Reconhecimento de Padrões.",1
"Design centrado no usuário, Metodologia de desenvolvimento de software ágil.",1
"IA, Realidade Aumentada",1
Não há menção a nenhuma tecnologia específica no título do artigo fornecido.,1
"IoT, Sensores",1
"Computação em nuvem, Arquitetura orientada a serviços.",1
"Digitalização 3D, Machine Learning, Visão Computacional, Modelagem de Informação da Construção (BIM), Realidade Virtual.",1
"Tecnologias principais: Realidade Aumentada, Aplicativos móveis, Plataformas de mídia social, Tecnologias de informação e comunicação.",1
Digitalização de patrimônio cultural.,1
